review,label
مش قادر ابص في شاشة اللاب وانا عندي امتحان بعد بكرا . حاجة خرا  . ,negative
كلما هممت ببوح حزني . أخجلني قوله تعالى  وبشر الصابرين . ,positive
ليه أصحى الساعة 6 يوم الجمعة ليه . ,negative
صباح صافى ونقى . ,positive
حقا ان أكثر الاشياء التي تؤثر عمقا فينا . هي تلك الاشياء التي لا نعرف كيف نحكي عنها  . ,negative
قال صلى الله عليه   من قرأ سورة الكهف في يوم الجمعة أضاء له من النور ما بين الجمعتين  . لا تنسوا سورة الكهف ربنا يبارك فيكم . ,positive
يا ذا الجلال والإكرام ارفع عن خالتي  التعب وعن كل مسلم مريض   . ,positive
حين يؤلمني ما تقوله أفواههم . اغمض عيناى ﺑشده و اردد  ربي كون بقربي  . ,negative
معجزة بناء فندق في ساعة بالصين . ,positive
كفاية رغدى وغيبة ونميمه يخربيتكم.مفيش حد الا لما اتريقتوا عليه. ,negative
قال النبي صلى الله عليه وسلم    من صلى علي صلاة واحد صلى الله عليه بها عشرا  .رواه مسلم .اللهم صلي وسلم على اكمل خلقك محمد بن عبد الله. ,positive
اللهم عجل لنا الفرح والخير انا وكل من قال امين . امين يارب العالمين . ,positive
كنت نعمه في  حياتك.  و ليتك كنت من الشاكرين . ,negative
صباحكم جميل  . ,positive
ربي أستغفرك لكل صلاة حضر فيها جسدي وغاب قلبى .سامحنى يارب فى الايام المفترجة دى . ,positive
بنت نزار قباني تقول لوالدها أنت أفسدت حياتي لأنني كلما قارنت رجلا بك سقط من عيني . ,negative
كداب مغرور قال مش بيحبنا . ,negative
الحب ظلم بقسوه الرجال. أصبح الحب والعدوانيه وجهان لعمله واحده. ,negative
سامحونى حين اخطأ. فلسنا على الدنيا دائمون  . ,positive
هو انا مش بتابع مسلسلات اوى علشان الامتحانات . بعد الامتحانات هتفرج ولن ارحم احد . ,positive
الطريق إلى الله طويل. ليس المهم أن تصل إلى آخره لكن المهم أن تموت عليه. ,positive
يارب ساعدنا على ترك ما نحب لأجل ما تحب  . ,positive
انت بتتكلم بعيون مظلوم ومناضل .مش اى حد هيفهم كدا . ,negative
كفانا ذل يا عرب .مشهد اليوم ده عار على كل العرب . ,negative
أول رمضان سيصادف يوم الجمعه . اللهم بلغنا رمضآن لا فاقدين ولا مفقودين . ,positive
انا بشرب شاى بلبن وباكل بسكوت وكحك .كل سنة وانتم طيبين. ,positive
زيادة  الصداقة تزرع الحياة أزهارا . و الحب يحولها بساتين فرح . ,positive
على الرغم ان يوم الجمعه يوم مبارك . بس مش بحس بيه بيضيع هوا . ,negative
فى مشكلة عند فى الرسائل الخاصة بى . محدش يزعل لو ماردتش عليه . ,negative
معلش اصلك ما كنتش فى مدرسة عسكرية ومتعرفش النظام كان ايه هناك . ,negative
عربيتى اتسرقت من تحت البيت . ,negative
انا لم ابكى على مشاعرهم التى لم تكن ابدا لى . بل ابكى على نفسى لاننى احببتهم لدرجة كبيرة جدا . ,negative
استغفروا كثيرا قال الرسول صلى الله عليه وسلم   من لزم الاستغفار  .جعل الله له من كل ضيق مخرج . ومن كل هم فرجا ورزقه . ,positive
الألم ثلاث أنواع : ألم حبر و ألم جاف و ألم رصاص . ,negative
ربنا يتقبل منكم صالح الاعمال . عيد سعيد عليكم وبلاش كحك كتير علشان الرجيم . ,positive
يارب  في هذه الليلة لعلها تكون ليلة القدر  أنزل  شفائك وفرجك ورزقك وأمنك لكل من يحتاجه  و أرزقنا ما نتمناه ويسر لنا ما نخاف تعسيره . ,positive
 كم هو مؤلم أن تتعلق بشخص و تبكي قهرا من تصرفاته   . ,negative
لما اتخانقك معاك اعرف انى بحبك . بس لما اشتم تعرف انك غالى عليا . ,negative
صلاة الجمعة يرحمكم الله . قال تعالى إن الصلاة كانت على المسلمين كتابا موقوتا . فهبوا الى المساجد. ,positive
قال تعالى  وما كان الله معذبهم وهم يستغفرون.   استغفر الله واتوب اليه  . ,positive
الناس مش بترحم حتى على حزننا بتحسدنا   . ,negative
البعد حاجة وحشة اوى . يا مطول الغياب حن علينا  . ,negative
انا عايزة انتحر . ,negative
اللي يراضيك لازم تراضيه وتحطه علي راسك .,positive
الواحد من غير صحابه في الجامعة بيحس انه يتيم كدا . ربنا ما يحرمني منكوا ابدا .,positive
بحب اوي القاعدة علي البحر في الشتاء قاعدة بالدنيا وما فيها .,positive
تسلم بطمن عليك بس .,positive
بجد بكرا هتشوفوا مصر هتبقى احسن بلد فى الدنيا .,positive
‏‏‏‏امك عارفة اللى انت بتقوله ده . ,negative
ممكن اطلب منك طلب . بس طمنى عليك وكمل غيابك   . ,negative
سمعت أنشوده فكرتنى بأيام عزاء جدي . ,negative
ربنا يجعل قبرنا من نور وروحنا بالجنة . امين يارب العالمين . ,positive
توفى صديقى فى الاحداث الاخيرة . ربنا يصبرنى على فراقه . ,negative
اقترب شهر الرحمه والمغفره . ,positive
عندما تصدمك قلة ذوق البعض معك . لا تستغرب فهذا دليل على اخلاقك ورقيك . فلو كنت مثلهم لكان الامر اعتياديا . ,positive
ابن اختى عنده هوايه معفنة يجيب تراب بايده ويحدفه على الناس فى الشارع . ,negative
الاستغفار بيغفر الذنوب  استفر الله واتوب اليه . ,positive
قمة فى السخافة والاستظراف. ,negative
ده خبر جميل اوى على الصبح كدا. ,positive
‏انا طبيعتى بخاف من الحيوانات اوى . ,negative
وها قد جاءت اول ليلة امتحان فعلية .اللهم اجعلها بردا وسلاما علينا . ,positive
مش عايزة اروح الشغل بعد العيد. ,negative
قمت العذاب ان اليوم الوحيد اللى بتاخده وينك اند مش بتقدر تخرج مع اصحاب بتبقى عايز تنام وبس . ,negative
ياريت نعمل دار للمسنين يكون بمستوى عالى من الرعاية . ,positive
المشكله ان كثير من اللي جربوا القلم . بيقولوا انه مش نفس الموجود في الصوره وينصحون بعدم شراءه ابدا  بسبب سعره الغالي و عدم جودته. ,negative
انا فى الكلية نسيت الانجليزى خالص . ,negative
طبعا كلنا بنغلط . مفيش حد مش بيغلط      . ,negative
اكثروا فى الدعاء والصلاة فى هذه الايام . ,positive
كنت سبب في اابتسامتي ولكنك أبدعت في بكائي . ,negative
يا سجان الشوق ما قررت  تحريري . ,negative
جميلة ضحكتك. ,positive
بلاش حزن يا جماعه دى ليلة عيد.هعيط. ,negative
يخربيت شقاوة  العيال. ,negative
ايام كتير ضاعت منى وعدت من غير ما اذاكر ولا كلمة . ,negative
مفيش حاجة هتغيرني للاحسن الفترة دي غير هدية و شيكولاته .,positive
يومكم كله فرحه وبهجه.,positive
وهي الدنيا الحلوة إيه غير ركعة وإبتسامة ورضا ربنا .,positive
احلامي كتيرة والله بس اولها اخلص دراسة واتخرج .,positive
انت فاهم غلط . اسكت بقى . ,negative
سبحان الله من ناس همها الاول والاخير انهم ينكدوا عليكم عيشتكم اول لما يسمعوا انك مبسوط شوية   . ,negative
ده انت مزعج بطريقة . ,negative
النهارده كان يوم مثالى بالنسبة لى . ,positive
الدنيا من غير امى ما تسواش .اه يا حزنى . ,negative
انا قاعدة نايمة بحلم بمشروع التخرج والمناقشة . ,negative
صديقاتى  بدأت أشعر بالم الوداع قبل أن نصل ليوم الرحيل  . ,negative
ربي اكتب لى فى ايامى القادمة فرحة تغير بيها مجرى حياتى  . يارب العالمين   . ,positive
قدامى دلوقتى فى التليفزيون مصطفى بكرى و احمد شفيق فى شاشة واحدة لا ياربى كدة كتير عليا . ,negative
الواحد عايز اختراع كدا يدور على الحاجات اللى بتضيع من الواحد فى البيت . ,positive
أعترف بفشلي في حفظي لكتاب الله   . ,negative
بحب اسمع اوى صوت العصافير الصبح . ,positive
هى قتل الأرواح بالساهل كدا يا جدعان . شعب واطى صحيح   . ,negative
‏فى ناس فى الميدان دلوقتى بتتقل وتتصاب. ,negative
صوتها فى الاغنية هنا تحفة .,positive
مش فارقة ولد ولا بنت فيه بنات بيبقوا السند اللي بجد لاهاليهم .,positive
انا اول مرة اروح النهاردة واتبسطت الحقيقة الجو هناك جميل ورايق كدا .,positive
مفيش احلي من انك تصحي كل يوم علي صوت اهلك في البيت .,positive
الله يحركم كفايه حسد فيا بقى . ,negative
رسمك حلو بس الالوان بصراحة مش قد كدا . ,negative
ليه الرد القاسى ده .على العموم شكرا جدا. ,negative
شكلى هشيل المادة بتاعت النهارده . ,negative
فرصة ذهبية دى . ,positive
شكرا انك شيلت البلوك لى . ,positive
صعب اوى الواحد ينام متاخر ويصحى بدرى . ,negative
زهقت منكم بصراحة وقفوا الكرة الارضية عايزة انزل . ,negative
‏باين عليك كداب اوى . ,negative
سوريا منذ ولادتى لم انتظر شيء إطلاقا كموت بشار الوغد . يارب اخذه اخذ عزيز مقتدر . ضيع شعب وارض . ,negative
صبرا سوريا فالنصر آت لا محالة . ,positive
افلام مصاص الدماء ده مقرف فمش موضوع مرعب . ,negative
مفيش بنزين فى البلد . ,negative
اوجاعى كل لما تخف ترجع تزيد . ,negative
‏الشيطان هيتحسب النهارده بالليل علشان رمضان .كل سنة وانتم بخبر وربنا يحفظكم ويبعد عنكم اى حاجة وحشة . ,positive
جيران الهم بعيد عنك . ,negative
خائف جدا من الايام القادمة ومن اللى سيحدث بمستقبلى . لا اعلم ما افعل ولكننى استودعك الله ايامى كلها   . ,positive
اكثر من ذكر الله يبسط خاطرك ، يهدأ قلبك ، يرتاح ضميرك .حقا لا اله الا الله . ,positive
الواحد عايز يروح كدا جزيرة لوحده مش معاه حد .  وانسى الدنيا كلها . ,positive
بلا وجع دماغ . ,negative
ليه على اخر سنة واخر ترم يعملوا الهبل ده . ,negative
انا بشر مش ملاك صعب اسامح . ,negative
مجتمع مريض ابن ستين كلب . ,negative
يارب عند نزولك في اخر الليل إشفي من هم على فرأش المرض يأنون و يتألمون وفرج هم المهمومين . ,positive
اذا أردت أن تحب فلا تحب بعمق حتى تتاكد بان الطرف الاخر يحبك بنفس العمق . فعمق حبك اليوم هو عمق جرحك غدا . ,positive
‏‏تضاعف عدد القت لفى سوريت من امبارح لليوم . لكى الله يا سوريا . ,negative
حنيني الى الجنة ولملاقاة حبيبي محمد صلى الله عليه وسلم ولأصحابه  يجعلني اتمنى فراق هذه الدنيا . اللهم اجعلني وأحبتي من آهل الجنة. ,positive
هناك ناس معينة فقط إذا تحدثوا إليك وأنت بمزاج متعكر تتغلغل بداخلك بهجة الدنيا وأفراحها . ,positive
دعوه مؤلمه تسمعها من امك وأنت رآيح الامتحان روح يا ابنى ربنا يديك على قد تعبك .  ,negative
الناس بتتغير فى ثانية. ,negative
التقوى هي الخوف من الجليل والعمل بالتنزيل والقناعة بالقليل والإستعداد ليوم الرحيل . ,positive
تعبت غيرى وانا احكيله حكاياتى . ,negative
ده الواحد هيدخل التاريخ من اوسع بابه . ,positive
قمة الألم لما الدمعة تنزل من عيونك خلف الشاشة و بنفس اللحظة تردد حرف الهاء على الكيبورد لتمثل الضحكة   . ,negative
اليوم ضاع من غير مذاكرة . ,negative
بس يا بومة . ,negative
المعلومات خلاص بقت مش بتدخل الدماغ . ,negative
يارب اجيب الدرجة النهائية فى امتحان بكرا . ,positive
قلبي مقبوض   . ,negative
اوف ملل رهيب . قولوا ليا اعمل ايه  . ,negative
فيلم السقا ده من اجمل الافلام فى الموسم كله . عايز اوسكار عليه . ,positive
بنحاول نذاكر من اجل مستقبل افضل . ,positive
اول مرة ابقى خاله . الحمدلله اختى قامت بالف سلامة . ,positive
حقا صدمة عندما نسكب كل مشاعرنا مرة واحدة  ونكتشف أن الإناء الذي حواها  مثقوب   . ,negative
انا ضميرى يحتم عليا انى ماسكتش على الظلم . ,positive
ربنا يبعد عنك اى شر . ,positive
عايزه أسافر مخصوص للسبب ده. اغير مود ونفسيه. ,positive
نفسي فى حاجة مأكلتهاش قبل كدا . حاجة مجنونة كدا . اى حاجة مع اى حاجة تكون جديدة ومترقعه. يلا اسمع اقتراحاتكم  . ,negative
دى اخر مرة احذر فيها اى حد يحاول يكلمنى ويهزر وانا متعصب . ,negative
يا جدعان ارحمونا احنا اصحاب مرض بقى . ,negative
حتى أمنياتي أتقنت  فن الاعتذار . ,negative
يارب كل المعتقلين ياخدوا افراج . ,positive
اخص على الاصل الواطى . ,negative
الراجل كان فرحان جدا بثورتنا والنهارده بيكلمني كإنه بيعزيني وبيقول لي معلش هي الدنيا كده . ,negative
انا متوقع فوز عمرو موسى لو مش بالحق يبقى بالتزوير . ,negative
لا يتالق في الكتابه من يتسلي ولكن يبدع فيها من يتألم .,negative
يلا ارجعوا بسرعة بليز وحشتونى . ,positive
في عضو في البرلمان أنا بحبه بس مش عارفه اسمه ولا عارفة اذا هو في البرلمان اصلا  ولا لا .بس شوفته مرة فى البرلمان . ,negative
ايه الجمال ده يا خراشى . ,positive
الحمدلله على سلامة الوالد  . ,positive
احنا مصابين باللعنه باين . ,negative
ده انا مش بعرف افكر واخد قرار الا وانا بغسل المواعين . ,positive
الواحد نفسه يخدم بلده بعلمه . ,positive
مجدى يعقوب ده ملاك . ربنا يبارك  فيه . ,positive
ياريت كلنا نتبرع لمستشفى مجدى يعقوب . ,positive
تويتاتك دى بتقتلنى من الضحك. سكر  . ,negative
كل لما اجى اذاكر افتكر ام كلثوم وهى بتغنى فات المعاد فات . ,negative
ايه الشطارة دى حليتها بسرعه . ,positive
لا والله انا اتاثرت جامد . ,negative
لا تنسوا الصيام يوم الاثنين والخميس . تذكروا قول رسول الله صل الله عليه وسلم  تعرض الايام يوم الاثنين والخميس فأحب ان يعرض عملى وانا صائم . ,positive
يا جمال المسلسلات التركى والمممثلين فيهم . ايه ده بجد . ,positive
احنا بقينا مش بنيجى  على البال خالص . ,negative
دول رفقاء سوء . ,negative
اصل احنا شعب سخيف . ويجى فى التافهه ويتصدى . ,negative
جهاز الشرطة كله اصلا عايز يتفور . ,negative
لا يوجد فرق بين  لون الملح ولون السكر  كلاهما نفس اللون ، و لكن  ستعرف الفرق بعد التجربه كذلك البشر . ,negative
هى ايام الدلع مش هتيجى بقى ولا احنا مش قد المقام . ,negative
اللهم رب الناس .اذهب البأس .اشف انت الشافي.  لا شفاء الا شفاؤك شفاء لا يغادر سقما  . ,positive
لا تنسوا صيام الايام البيض وقيام الليل . ,positive
رقمى اتغير يا جماعه . موبايلى اتسرق . ,negative
مش بحب جو الرسميات والجرافاتات ده . ,negative
ضاق الصدر استغفر الله . ,negative
بعيد عن اي حاجة انت حبيبي وانا عمري ما اشيل منك مهما حصل بينا .,positive
بكرا فرح اغلي صاحبة عندي مش قادرة اوصف فرحتي والله كأنه فرحي انا .,positive
الواحد مقضيها اليومين دول خروجات وفسح . ,positive
اهو بدأت افهم شوية . الدكتور ده احسن بكتير من الدكتور اللي فات .,positive
الواحد هو نازل مستعجل ومتبهدل يشوف ناس من سنين ما شافهومش . حاجة تكسف . ,negative
سواقين الميكروباصات لا دين لهم . ,negative
مش بيتعب فى الزمن ده غير الصريح والطيب . ,negative
ماما عرفت من نبره صوتى اصلا . انى مش مبسوطة   . ,negative
‏صحبة الجامعه احلى  واجدع اصحاب . ,positive
ياربي نخطيء ولا نعلم أحيانا. فياربي إغفر لنا خطايانا وذنوبنا  . ,positive
مافيش مترو عندنا زيكم كدا . انا بتبهدل فى المواصلات . ,negative
كارنيهات المنتزه و المعمورة خلصت  . ,negative
في حياتى الحمدلله عمرى ما كذبت  . ,positive
ربنا يبعد عننا الهم والضيق . ,positive
‏‏‏‏‏احساس وحش انك تحس انك تقيل على حد  . ,negative
هو ده منظر مجلس شعب . يا جدع ده انا بموت من الضحك منه . ,negative
الله عليك ايه الشياكة دى . عيد سعيد . ,positive
لازم انام دلوقتى عندى سفر الصبح. تصبحوا على خير . ,positive
رجلي تؤلمني اه ياني . ,negative
الواحد مش عايز فى الدنيا دى غير الراحة والصحة ومليون جنيه . ,positive
الواحد يفضل طول الليل يتقلب يمين و شمال و مايجلوش نوم الا لما قبل المنبه ما يرن بساعه واحده بس  . ,negative
اصلا انا هتجوز ثرى عربى . ,positive
أكثر شيء شايله همه أني اسقط  فى الفيزياء   . ,negative
انتم فكرتونا بايام الصياعه. ,negative
يزهر في قلبى بستان من الامل حين اردد يا الله   . ,positive
‏انك تحب حد مش بيحبك .ده ظلم لنفسك كتير . ,negative
انت مفجوع كدا ليه . ,negative
الإنسان الذكى هو الذى لا يحشر نفسه فى امل واحد فى الحياة    . ,positive
مش هدفع فاتورة الكهرباء دى . يخربيتهم ايه الارقام دى . ,negative
لا تحصر أسبوعك في يوم، ولا تحصر ابداعاتك في فكرة ، ولا تحصر حياتك في شخص   . ,positive
صبرا على الاختبارات صبرا  . ,positive
من زمان ما قراتش روايات . من زمان ما اقعدتش مع نفسى فى البيت . الواحد كان مفتقد حاجات حلوة اوى . حققتها النهارده. ,positive
اذا حصل لغيرهم مصيبة قالوا ده عقاب من ربنا . واذا حصل ليهم شئ قالوا عين وما صلتش على النبى . قمة التناقض  . ,negative
هو انا مستقبلى بيضيع ولا انا اللى مكبر الموجوع . ,negative
هو الواحد بقى عامل زى العيل الصغير المحروم كدا ليه . ,negative
مصر اصلا اوضة وصالة بتتكلم فى ايه . ,negative
انت بس علشان مش بتحب منتجات ابل . علشان كدا مش حاسس بمميزاته     . ,negative
شغل رخيص وقديم كمان . ,negative
اشد انواع الجرح انك لا تستطيع الافصاح عن اسباب حزنك وتكتفى بقول انا بخير     . ,negative
قربنا نوصل لاخر الشهر وهنقبض بقى . ,positive
قال النبي صل الله عليه وسلم  من صام يوما في سبيل الله باعد الله وجهه عن النار سبعين خريفا .  تذكير بصيام يوم الاثنين . ,positive
فى ناس اصلها طيب بس لازم تدور عليه . ,positive
الحمدلله انا متعود اصلى الفجر وانام . ,positive
غيرك مش لاقى ياكل . ليه كل الاكل ده فى الزبالة . ,negative
أليس لنا الحق ان نعيش كما نريد . تبا لعادات وتقاليد حكمت علينا بالاختناق   . ,negative
الى هنا وانتهى الامر . ,negative
اوسخ شي في الدنيا لما اصحابك يتملعنوا عليك . ,negative
فعلا المواقف بتبين  الرجال. ,positive
‏اشد الاناث مرحا تختنق باحزان لا يكتشفها الا من يحبها بشدة . ,negative
انا الليلة دى مبسوط على الاخر . ,positive
راسى هتنفجر من الصداع . ,negative
حان الان موعد السهرة مع فيلم البلطجية في العباسية . ربنا يحفظ شبابنا . ,negative
معلش عندى مشاكل الفترة دى ومش عايز ارد على حد  . ,negative
اللهم يا مقلب القلوب والابصار ثبت قلوبنا على دينك . ,positive
بيقولك مرة واحد سكران دخل مطعم وقاله عندك حلقات بصل .قال  له ايوة  قاله طيب ادينى  الحلقه الاخيره  . ,negative
خسرته منذ عام و ما زلت اشعر و كاني فقدتهه بالامس القريب . ,negative
نفسى ارجع زى زمان   امرأة حسنة النية، و أحسن الظن بالآخرين . ,positive
احاول المجاهده باسعادهم ولكن تأتي المواقف  ﻟتكشف انهم لا يستحقون حتى معرفتي . ,negative
الوش ده ازاى عنده امتحان بكرا . ايه كم البرود اللى انا فيه ده . ,negative
كل حاجة وليها اخر . آخر الحزن الفرح . آخر الأمطار قوس من قزح . ,positive
ربنا يقومك بالف سلامة . ,positive
شكرا لكل من همه غيابى . ,positive
لم يفهمنى الكثير  و يصفونني بالكئابة وربما التفاهة   . ,negative
مش بحب حد يستغفلنى . ,positive
انتم تستهلوا كل خير . ,positive
ناس تصحى على صوت الحبيب وناس تصحى على صوت بياع الطماطم . ,negative
اللهم أرزقني نفسا مطمئنة توقن بوعدك و تسلم لامرك  و ترضى بقضائك . ,positive
ايه كمية الوجع اللى فى الفيديو ده. ,negative
نحمد ربنا احنا احسن من غيرنا . فى بلاد كتير غرقت . ,positive
