TWEET,LABEL
الناس هتفضل تتكلم في موضوع  اسلام الشهابي دا لحد الاوليمبياد اللي جاي !,2
يابوب ارجع محتاجينك بجد #ارجع_يا_بوب,1
اهو بحاول على قدى شكرا لإهتمام حضرتك .,0
دي مصر ..تشوف صور السيسي في شرم الشيخ تقول دي أخت فيينا .. تنزل الشارع تلاقيها أسوأ من بنت عم الصومال! #منتدي_شباب_العالم #WeNeedToTalk https://t.co/Bn7woBzDHc,1
(النقيب محمد الحايس: استشهد جميع زملائي في حادث الواحات.. ولم نستطع إصابة الإرهابيين) https://t.co/IwTf6GqEOI,1
بس الاوليمبياد السنادي مميزه برضو,0
نتمنى لرئيس الوزراء الدكتور عصام شرف الشفاء العاجل كما نتمنى ألا يكون مرضه مرضا سياسيا,0
الطريق الى جماعة الاخوان المسلمين الارهابية #الاخوان_جماعة_ارهابية,1
الشباب والفتيات بيبذلوا مجهودات في الاوليمبياد عشان اسم بلدهم ..و  السيسي بيمرمط اسم مصر في الوحل بتبعيه للسعوديه وتطبيع مع الصهاينه,1
د علاء الأسواني يكتب مقاله الاسبوعي بعنوان: ملاحظات صريحة على مسار الثورة,2
"عملي مع #الإخوان ""سبوبة""والنيابة تأمر بحبسه …",2
بحبك أرسلها لزوجتك أرسليها لزوجك - جرب و هتدعيلى,2
من زمان و انا اسكت واطنش. بس الكل تمادى فيها .مش هسكت تانى .,1
بوتين يتحدى الجميع فى آخر تصريحاته عن مصر,2
عاجل| #مرتضى_منصور يكشف مفاجأة عن أحمد سليمان ونائبه|فيديوhttps://t.co/aRcxOFvymw https://t.co/CuHDLjyIUS,2
7_3 مستعمل,2
لا، عرص,1
لقيت ناس كتير مستنياني عند بوابة القاهرة علشان تستقبلني وقتها كل احساس الغربة راح .,0
دى صفحة شخصية مش رومانسية بتعبر عن دماغ صاحبها و قلبه وبس . ,0
مش كل اللي الواحد عايزه هينوله بتيجي في طريقنا حاجات مكناش نتمني نقابلها .,1
"قرارات مرسي ""انتقامية""",1
هو اعضاء مجلس الشعب مش واخدين بالهم ان معاهم نص السلطة فى البلد !! طالعين يهاجمو الرئيس بدل ما يشتغلو هما  ,1
كل ما يستضيفوا اداري في اي لعبه في الاوليمبياد يقولك للاسف كان عندنا امل بس للاسف. احا طب ما احنا كمان كان عندنا امل بس للاسف,1
احنا في الامتحان بنراقب المراقب وممكن نعمله محضر غش  . ,1
"""مشاجرة في عزاء #محمود_عبد_العزيز بسبب #عادل_إمام https://t.co/Z3QX5aZDU8 عبر @YouTube""",2
#التحرير | المهن الموسيقية تقرر سحب تصريح الغناء من #سما_المصري,2
#منتدي_شباب_العالم النجاح يحققه فقط الذين يواصلون المحاولة بنظرة إيجابية للأشيا,0
علشان مش متعودين على انك بترد كدا متاكد انك محمد صلاح لاعب مصر وليفربول,0
لو كان خيرًا لأبقاه الله جملة تستحق التأمل #مصطفى_حسني,2
ﺍﻟﺠﻴﻮﺵ ﺍﻟﻌﺮﺑﻴﺔ ﺃﻛﺬﻭﺑﺔ ﻛﺒﻴﺮﺓ ﻓﻘﺪ ﻛﺎﻧﺖ ﺃﻭﻝ ﺣﺮﺏ ﺧﺎﺿﻬﺎ ﺍﻟﺠﻨﺮﺍﻝ العسكري الكبير عبدالفتاح ﺍﻟﺴﻴﺴﻲ ﻓﻲ ﺣﻴﺎﺗﻪ ﻫﻲ ﺣﺮﺏ ﺭﺍﺑﻌﺔ ﺍﻟﻌﺪوية,1
طالب نجا بمعجزة من أعلى كوبري #أكتوبر #أخبار #مصر,2
وزير الغلابة #باسم_عودة معتقل ف سجون العسكر ل #افضل_منتج_لاكرم_شعب #انا_مش_رقم #انتفاضة_السجون,0
#منتدي_شباب_العالم الخلاصة يابلحه انت راجل فاضى لاوراك شغل تصنع ولاتزرع ومقضيها معتقلات ووفسح ومراجيح بتؤدى المطلوب منك ببراعة,1
#نبض_الاخوان | #زواج_امريكا_من_مصر_باطل حشود هائلة ل ثوار #المطرية وشبرا الخيمة الجمعه 2/5,1
الف مبروك ولله مصر كلها فرحنالك ومستنين منك الاغنيه الاولي  محمد شاهين,0
اقوال محمد مرسي (8 أغسطس 1951)، الرئيس الخامس لجمهورية مصر العربية والأول بعد ثورة 25 يناير ويعتبر أول رئيس مدني منتخب للبلاد. تم إعلان فوزه في 24 يونيو 2012 بنسبة 51.73 % من أصوات الناخبين المشاركين وتولى منصب رئيس الجمهورية رسميا في 30 يونيو 2012 بعد #صوت_مرسي_MorsiVoice,2
طب يا عم انا مستعد أرشحك لفترة رءاسية ثالية ورابعة كمان بس بشرط ترجع لنا تيران وصنافير وأم الرشراش وكل اللى سرقته كمان؛موافق ..؟!,0
"للعلم: مهرجان القاهرة هو المهرجان العربي الوحيد اللي متضنف درجة ""أ"" (درجة أولى يعني) واللي بيحصل ده هيضر التصنيف ده أكيد",2
عشان امريكا تبقي جريت اجين اتخلصوا من الاسكا زي ما مصر اتخلصت من تيران وصنافير عشان حملهم تقيل عليها https://t.co/37XEQ4DcD,1
اقسم بالله مابنخافش و لساها ثورة يناير https://t.co/Sj0I6WSF,0
الطالب الوحيد ف تاريخ ستاراك اللي غنا لهحات ولغات مختلفه وابدع فيها  محمد شاهين   ليث المصري السادس   كنزه حبيبه المصريين,0
ابناء سلول في الاعلام المصري قالوا انها علاج فرعوني استخدمه الامريكان في الاوليمبياد,2
هما مش نقطتين فوق بعض و قوس لاممهم  بس وقعهم علي النفس جميل لما حد بيكتبها لك .,0
ابوالفتوح: سأكمل السباق الى النهاية خدمة لهذا الوطن ولن اتراجع الا اذا شعرت ان الاستمرار يتعارض مع خدمة وطنى,2
يارب انا مش طالب كتير انا عايز واحده فى خفة دم #رنوش وجنان #سوكا وجمال #شيرى_عادل ورقة #جنات واى حاجة من #صافيناز ^_^ #,0
#بالسيسى_مصر_بتعلىإنجازات كثيرة حققها الرئيس عبد الفتاح السيسي، خلال ثلاثة أعوام، أي منذ توليه الحكم في 2014، ليستطيع بها ترميم ما خلفته الجماعة الإرهابية طوال فترة المعزول من انهيار تام في قطاعات الدولة,0
كل واحد يشوف مصلحته ومصلحته بلده كيفما يشاء ويشوف اكل عيشه ويكون منتج فى بلده انما هنقعد على النت وعلى القهاوى يبقى مصطفى بكرى معاه حق يقول ان تيران وصنافير امريكيه,1
"""RT @vabdola: وائل الفخراني: لماذا تركت ""جوجل"" لأنضم إلى ""كريم""؟ | مقال مُترجمhttps://t.co/AAAW0CYEmv""",2
نهايه المباراه بخساره مصر وتوديعها الاوليمبياد!!,2
كل سنه وانت طيب يا نجم  بارك الله لك في عمرك وعملك واولادك   الاهلي يارب  ????❤????❤????❤,0
هههههههههههههه زود يابنى بطوله للزمالك شيكا جون فى تصفيات كاس العالم,0
الثورة دي لولا الأميين ماكانتش نجحت أصلا أو على الأقل ده اللي أنا شفته يوم 28 ينايرإحنا بس مابنعرفش نكلم الناس صح والله أعلم,1
"""هل تهدد عودة ""#أحمد_شفيق"" لـ #مصر النظام الحالي؟!https://t.co/jxCbeCI1dV! https://t.co/9rDZhG8xvY""",2
ابن اخويا ده بقى لما احب اضحك بحب اقعد معاه اوى . حاجه كده عسل ودمه خفيف وطيب جدا . ,0
رئيس الدستورية المحكمة عازمة على الانعقاد 2 ديسمبر لنظر قضيتي الشوري وبطلان التأسيسية تضارب,2
الساعة 7 ولسه ماتغديناش . انا خلاص مت من الجوع .,1
انا كدا هتشل منكم . ,1
الدراما ف الاوليمبياد دا عاليه اوي اوي,2
قمة المسخرة لما العكش قال يا شعيب مصر انا لم احسم قرار ترشحي فى الرئاسه حتي الان  . ,1
اي كلمة حلوة من حد بعزه بتفرحنى اوى . ,0
#منتدى_شباب_العالممقبرة رمسيس التانىالاقصر https://t.co/IDiTxza9eR,2
بنروح على الجامعه بناكل وبنرجع بس. ,1
ربنا يطول فى عمرك . ,0
الحقيقة ان بعد ثورة يناير جت الفرصة على طبق من ذهب بس للاسف مقدرناش نستغلها ولا قدرنا نعمل قرارات ثورية لقطع رؤوس الفساد وذيولها دلوقتى بح 😢,1
المصريين المشاركين في اول يوم في الاوليمبياد ما شاء الله كل الالعاب الفرديه اللي اتلعبت النهارده كل اللعيبه خرجت باستثناء فريده عثمان,1
فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه ..جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار  ,0
دي ناس متخلفه اصلا فكره الاوليمبياد هي توحيد العالم ونشر التسامح وتناسي الاحقاد والضغائن,2
أبو الهول ومن خلفه أهرامات #الجيزة عام 1875 م,2
#اطفال دول ولا مش اطفال ؟؟؟ظظ يابتوع #المدارس هههههههههههههههههههههههههههههههههههههههههههه,0
دي طابور البعثات المشاركه في الاوليمبياد شغال دلوقتي,2
"مقتل سعيد فضة أكبر مورد بلطجية فى #شبرا_الخيمة وعميل أمن الدولة """,1
#منتدي_شباب_العالم #تصويت_جبهة_شعب_مصر #جبهة_شعب_مصر مارئيك؟؟؟؟؟؟ شارك وعرفنا ماتراه خليك ايجابي https://t.co/T6DD4sl72O,0
هو الهوكي بتاعنا في الاوليمبياد ولا مراحش,2
أحب اللى يحلف عليا مدفعش  .وقتها ببقي فرحان اوي ومش عارف أقول له ايه من الفرحه .,0
مرتضى منصور ستايل,0
تسلميلي يا اغلى واحلى اخت . بجد ميرسي حبيبة قلبي انتي. ,0
- تركي آل شيخ علي الهواء ممسخر النادي الاهلي مع شوبير فضحهم كلهم وقال عليهم انهم عصابة بيحكموا الاهلي و بيقول ان كل اعضاء الاهلي كلهم بيكلموني من تحت لتحت من ورا الخطيب وان الدولة تدخلت شخصياً علشان شركة الرعاية بتاعتي تكمل دعم للنادي الأهلي....  ,1
البحر حلو اوي النهارده . ,0
دى بنات مخها طاقق. ,1
للأسف لا معلومات إلى الآن عن هاني سمير لوقا، بقية الأسماء في النيابة، محمود القرش في طرة وعرض على النيابة وسيعرض غدا مرة أخرى,2
اذا تم العفو عن مبارك ونظامه فهذه رسالة من الشعب الى الرئيس القادم تعالى اسرقنا واستبد بنا وذلنا كما كان مبارك,1
امين يارب و يروحوا يحجوا كده . ,0
دى حاجات من التراث .بصراحه احس لازم نتثقف بتراثنا اكثر  .جميل الفيديو .ياريت الاقى منه تصوير افضل . ,0
المفروض يبقى فى مرتب للطلاب . ,0
اللي عمله العصار في عقيدة الجيش المصري + التفريط في تيران و وصنافير و مية النيل دول ماكانش هايقدر يعملهم اي احتلال لمصر,1
بخصوص الالعاب القتاليهفي الاوليمبياد لغايه دلوقتي مشوفتش بطل من اي بلد حد زي كرم جابر كان بطل العالم قدامه بيخسر عدم تكافؤ اسطوره مش هتكرر,1
شيرين لما تقول ان النيل بيجيب بلهارسيا تبقى بتشوه صوره مصر بس لما السيسى يقول ان البلد مفيهاش تعليم ولا صحه ولا فرص عمل ويبيع جزيرتين #تيران_وصنافير يبقا بيجمل صورة مصر يا شوية معرصيين,1
ستانز قاقا https://t.co/mRDWx1yWYA,2
فين أيام ماكان المواطن بيتشتم ويتهان وينضرب على قفاه!!أيام العز.قول للزمان ارجع يا زمان.طبعا دى  ..رافضة للوضع الحالى وللوضع السابق.,1
مروان محسن من ايام بتروجيت و الاوليمبياد و انا نفسي اشوفه بتيشرت الاهلي 💞,0
شاطر انت كدا عملت اللي عليك روح نام وانت مرتاح بقي .,0
هامش للديمقراطية المتواطئون الإقليميون - عمرو حمزاوي - بوابة الشروق,2
اجمل حاجة تبدأ بيها يومك هي قراية القرأن ساعة الفجر .,0
انت خووورم كبير ياشريف ياريت تمشي وتريحنا وخد احمد  عادل معاك عشان تصوروا مع بعض ياشويه منايك,1
طب ماتسمعونا دعوة حلوة لاختى عندها امتحان النهاردة فى مادة رخمة فى قسم عبرى يارب تنجح .,0
"أشارك اليوم في مبادرة فودافون لمحو الأمية, العلم قوة, سفيرا للمبادرة ومتطوعا لتحقيق الهدف القومي بأن تصبح مصر بلا أمية",0
الناس اللي بتشتم مؤمن زكريا دول محدثين او قرايب مرتضي منصور,1
و يا بخت اللى عنده حد بيقوله مستحتملش اشوفك زعلان .,0
استرداد #طابا وتحرير #سيناء كامله كان في عهد مبارك وهو اللي سافر وجاب مايثبت ان طابا ارض مصريه وشكل لجنه دوليه لاستردادها 1,2
" احنا نستغل اللي بيحصل في السعودية ونخش ""نحتل"" تيران وصنافير تاني عشان نحميها",1
د عبد المنعم أبو الفتوح : أتوجه إلى كل إخواننا الذين لديهم رؤية مباعدة للدين تكونت عندهم من التجربة الغربية أتوجه,2
الألم الذي نشعر به من موقف ما. . قد يزداد. . ويدخلنا المستشفي لشدته. ..وفي النهاية يندرج تحت مسمي سوء تغذيه  ,1
في دولاب كل بنت بلوزة صغيرة هتلبسها لما تخس ان شاء الله .,0
لل كان بيسأل عن استهداف الاقباط ادي عينة,2
#شباب_مصر_يريدتحقيق أهداف ثورة يناير التى نشأوا فى ظل ربيعها,0
مش عيب ان انت اللى تبتدى كلام . المهم تبقى على وضعك فى كلامك . ,0
مهو ده اللي بتكلم فيه بالضبط الاوليمبياد اللي فات اظن ايه مدني اتكلمت ان مصر موفرتش سلاح الليزر بتاع الرمايه تتدرب عليه,1
متضايقش مفيش حاجه تستاهل كلام كتير كله هيتحل بأذن الله .,0
نهاية لقاء : غانا 1 × 1 مصر المباراه الاخيره فى تصفيات كأس العالم https://t.co/a6Idi5j2JB,2
"""الهبه الجديده #SuperMarioRun https://t.co/BirAdZdXYH""",2
قطع لسان اللى يقول ان 25 يناير مغيرتش حاجة !!!أهو ثورة مجيدة ..و جوزت العانسات ..و ستّرت السينجل موذرات ..و... https://t.co/CZGnbRzFqK,1
الاوليمبياد حصري علي bein ولا هتتذاع علي القنوات المفتوحه ؟,2
اللهم لا تعلق قلبى بما ليس لى واجعل لى فيما احب نصيب . طبعا الكل يقول امين من كل قلبه  . ,0
و انا كمان بتكلم بحيادية . ,0
"بيننا وبين ""التقوى"" مخافة الله سبحانه وتعالى لكن بيننا وبين التدين الشكلى مجرد موس حلاقة (جلال عامر) #جلال_عامر",0
المقال الأسبوعي لـ علاء الأسواني ينشر صباح غد بجريدة المصري اليوم,2
ما هو لو كان في اسكواش في الاوليمبياد كنا ضمنا الذهبيه والفضيه والبرونزيه مع بعض كده كلهم !  ريو2016  مصر,2
الناس اللي قاعدين يبعتوا في الدي ام يا جدعان لو رديت علي حد فيكو هاحرجه . لو مصرين ابعتوا ان معندكوش مانع بس ماترجعوش تزعلوا. ,1
#مصر_نيجيريا منظر #الجماهير النهارده و هما واقفين ع الخط بيشجعوا كائن الماتش بيتلعب بمركز شباب اه والنعمه ولا تامين ولا يحزنون  ,1
تعظيم سﻻم للأسود اللي واقفين اعلي جبال شرم وفي الشوارع والطرق والمدقات لتأمين المؤتمر وﻻ يشعر بهم أحد #منتدي_شباب_العالم_٢٠١٧ https://t.co/VStv9GuH3T,0
المرأة كتاب عليك أن تقرأه بعقلك أولًا وتتصفحه دون نظر إلى غلافه د / #مصطفي_محمود,2
محمد صلاح يسجل أول أهداف ليفربول فى شباك ساوثهامبتون https://t.co/vK9TMzUigr,2
#عن رجولتك وانت بتهزء واحد بيعاكس بنت حتى لو متعرفهاش,0
عندنا وبس غرفة اطفال محمد صلاح,2
ننشر مخطط #الإخوان لحرق شون #القمح والتأثير على المخزون الاستراتيجى للمزيد علي,2
غني يا بنت ويا البنات #دينا_الوديدي,2
العاب القوي مكناتها في الاوليمبياد اعلي من السباحه برده,2
خلية نحل من الف شاب وشابة من مختلف محافظات مصر ساهمو في اخراج هذا العمل المحترم نشكركم #منتدي_شباب_العالم_٢٠١٧ https://t.co/55Le4YPykW,0
مين فينا ملعبش اللعبه دى ذكريات طفوله  . ,0
اه خلصت غسيل وكنس ومسح وطبيخ وشاى بلبن وجيت .,0
احب اقول للسنة الجديدة ادخلى برجلك اليمين يا حاجة  . ,0
"#تنبيه #هام تحليل اولي قالت ""مايكروسوفت"" إن هناك #ثغرة امنيّة #خطيرة في #متصفح تبدأ من النسخة",2
شايفين اخره الربيع العربى كلاب الصهاينه بيتنططوا علينا https://t.co/YjN4m7fmXf,1
مش ذنبي إنك دخلت السياسة بعد الثورة وماسمعتش عن عرض جامعة الأزهر اللي شباب الإخوان لبسوا فيه أقنعة واتحبسواراجع الأرشيف قبل ما تفتي,2
الفلولي مصطفى بكري ينسى اسم ولي أمرهفيكتب (أيوب) بدل (منصور) اللهم لا تزد الانقلابيين إلا ضلالا! …,2
انتوا بجد قاعدين تتفرجوا على الارهابى الكيوت والضابط المخطوف ؟؟؟؟ لا بجد ؟؟؟؟ #تيران_وصنافير_مصرية رغما عن... https://t.co/aNPaLOdqy,1
كلنا ايد وحدة وان شاء الله غدا اجمل مع المحترم عبد الفتاح السيسي والجيش المصرى وشعب مصر https://t.co/7ixlksiJS,0
انا مصرى و #ضد_الفحم #أوقفوا_الفحم #فحم_لية لمصلحة مين يتم استخدام الفحم طبعا لمصلحة اصحاب #مصانع_الاسمنت,1
يا رب الامتحانات تخلص بقى على خير. ,0
ميقدرش يقول مسيس لانه نفسه في موضوع تيران وصنافير قال مش مسيس فيروح يلعب بعيد,1
بوليكا تا . انا جائع . ,1
#مصطفى_حسني #الطريق_الى_الله ناو :),2
مهما كنت مجتهداً بنسيان الماضي ، صدفه واحده قد تعيدك للوراء سنين,1
الجديد اني لما اتخنق في اي وقت هنزل اتمشي علي البحر ودي اكتر حاجة محبباني في البيت الجديد .,0
#محمد_صلاح يقترب من لقب هداف الدوري الإنجليزي مع #ليفربول ، أحرز 7 أهداف وهداف الدوري هداف توتنهام بـ 8 أهداف😍😍,0
#منتدي_شباب_العالمتكلفه المنتدي دي ؟؟ماتجيش ربع الاخبار والاعلاناتعنه ف CNN &amp;BBC وغيرو 134 دوله ومندوبيها.. ولاالنشاط السياحي ف شرم,1
انا هقوم بقي افضلوا ادعوا كتير بقي بالله عليكوا اخد العمرة بكرا .,0
بيقولك مره واحد عمل برنامج اغاني علشان يلم فلوس من الناس .. والناس زي الهبل عماله تدفع لحد دلوقتي ..  ,1
كشف لنا الانقلاب جيش البلطجية فى مصر لم نكن نتخيل ابدا انه بهذه الاعداد الهائلة والسلاح الوفير والعلاقات الطيبة مع الحكومة,1
ربنا يخلى الناس الحلوة فى حياتنا . ,0
#باسم_محسن مات مقتول والسيسي هو المسئول,2
… #فودافون,0
وادي منتخب  كره اليد شال اوبح من  المانيا ف  الاوليمبياد وصيفنا احنا كمان بدري بدري ومن غير خطف  ريو2016  Rio2016  المخطوفين طلعو بيصيفو,2
تصدر وسم #السيسي_سهوكة الاعلي تداول فمصر تحت رعايه بقايا ثوره يناير والروح التي تسكن داخلهم والله المستعان https://t.co/rIK740OsPH,1
كريم الزغبي الفارس المصري المشارك في الاوليمبياد عايش في هولندا هو والحصان بتاعه واكيد المدربين بتوعه من هناك الجميل بقي ان في فريق كامل >,2
مصر خرجت من بطوله الرمايه في الاوليمبياد بالمركز 41 من 44 .. كانوا جابولهم اهداف من الثوار والاخوان ومناهضي الانقلاب والمُصليين عشان يفلحوا󾓵,2
الاهلي  محتاس ولا دوري ولا كاس. ,1
#اوعى_تنسى # (,2
أحمد مرتضى منصور : رئيس الزمالك يقتنع بوجهات النظر المخالفة https://t.co/YbnEKfCNtO,2
اول مره في التاريخ يكون ليلة اخر ماتش في تصفيات كاس العالم وضامنين الصعود ومرتاحين ومش فارق معانا حد 😎,0
اتفقنا يلا روحي نامي بقي تصبحي علي حاجة حلوة .,0
#مش_ساكتة عشان الناس #مش_ساكتة عشان ده حقى #مش_ساكتة عشان مش غلطى #مش_ساكتة عشان انتى اقوى من المتحرش,1
كل اللي بيحبوا يكلموني .يجوا يكلموني طيب .,0
ذهب محمد صلاح ليشتري جاكيت فوجده ب 1650 جنيها اذكر انواع الشتايم التي شتمها محمد حتى عودته الى المنزل 😬😬😬 #السيسي_هيعطش_مصر,1
هداف الدوري الانجليزي اقوي الدوريات ربنا يحميه من الاصابات #محمد_صلاح _الهداف,0
هما بيبقوا كذا احساس وكل واحد عكس التاني بس كلهم مع بعض كدا بيخلوك فرحان .,0
دائما ما اتعثر لاخطائى ﻟيتعلم  الاخرين  .  ,1
" حسن شحاتة عن ثورة 25 يناير: بالنسبالي ""نكسة""https://t.co/W2HLcLQ1fH",1
خلينا نخلى رمضان ده احسن رمضان عدى علينا فى حياتنا . ,0
حبيته بيني و بين نفسي ومقولتش لحد .,0
كمان كام يوم الاوليمبياد تخلص وتظهر حاجه جديده للهري .. تويتر دا محتاج واحد زي نجيب محفوظ يكتب يومياته عليه.. يضغط الوقت ويفرده بحرفنه نجيب,2
هناك تفاصيل رغم تفاهتها قد تسبب كسر فى خواطرنا بشدة  . ,1
"""RT @The_Deep_State: اومال فين قناة السويس و المؤتمر الاقتصادي و الهري دا ؟قلتلك يا سيسي شغل العلاقات العامة و المرهمة مش بيأكلوا عيش http…""",1
لكل من ينتقد او بيشتم الرئيس السيسي عشان اداء الحكومه الفاشل .. الرئيس مش قادر يشيلها عشان البرلمان .. البرلمان...,1
مسااء الخخيير🤍🤍,0
انت يا دكتور خير اخ ربنا يزور عليك,0
مفيش هم بيفضل علي قلبك علي طول اكيد ربنا هيفرج همومك .,0
شوية امل بقى ان شاء الله مصر هتنضف . ,0
يارب تكون سنة حلوة علينا كلنا ونحقق فيها كل اللى بنتمناه  متفائلة . ,0
محمد صلاح حط الكوره في الزاويه الضيقهيا لطيف اللطف يارب الدنيا جرا فيها ايه 🤣,0
ربنا دلوقتي بيختبر صبرنا و قوة حبنا لبلدنا واحنا لازم ننجح .,0
اليوم السابع | اليوم وقفة لدعم #حمدين #صباحى بـ #العجمى,2
نحب ، فنحتاج،  فنعتاد ، فنفترق . وهكذا .,1
"""@BouEidJoe @NawalElZoghbi نوال الزغبي لما بتنزل اغنية بتكون اغنية 👍جامدة ودة...💃💃💃 دليل نجاح""",0
 اي صح و حاليا فاقده الاثنين,0
" السيدة انتصار زوجة السيسي تتألق ""بالأزرق"" في حفل ختام منتدى شباب العالم بشرم",0
﻿اللهم اغفر لنا انا كنا ظالمين و ادخلنا الجنة سالمين,0
بامضه اتنازل عن تيران وصنافير وبامضه اتنازل عن النيل وبامضه عوم الجنية وبامضه اتنازل عن حقنا في حقول البترول في المتوسط وهرب آثارنا للإمارات. يااارب رحمتك https://t.co/dRBkQL7RJJ,1
مباشر | نتيجة مباراة مصر وغانا اليوم 12-11-2017 في الجولة الأخيرة من تصفيات كأس العالم روسيا متابعة لحظة بلحظة للفر https://t.co/2p4uASmaSy https://t.co/ynmnl1VX5c,2
ايه البلاهه اللي الناس بقيت فيها دى . ,1
مستعد ان اذهب لصندوق الانتخابات بشرط واحد فقط هو عودة شرعية ثورة يناير المجيدة,1
الرئيس #السيسي يكرم الفنانة #غادة_والى مصممة الجرافيك #weneedtotalk #worldyouthforum #wyfegypt #fightingterrorismhumanright #منتدي_شباب_العالم https://t.co/4Vkzga3I6R,0
﻿و مفيش احلى من قضاء ربنا,0
﻿اللهم حسننا و حسن اعمالنا ظاهرا و باطنا و لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين,0
محمد صلاح بدون منازع❤👌 https://t.co/TToKbx3RoS,0
الفكرة ان الاخوان كل مرة مش بيغلطوا غلط جديد لا. ده نفس الخطأ بس باسلوب مختلف . ,1
"""@intstellarburst @Es2all دى مشكله عموما ف ويندوز 10 كله غيرى النسخه وخليها 8 احسن""",2
لا تجعل الامتحانات تلهيك عن عن عن الامتحانات اللي بعدها ،، ما هما شهرين طين #امتحانات_ايفري_وير #عشان_خاطر_ماسر,1
أحجل بعيد ياموت بعيد عن الناس والبيوت لسه الحياه يادوبها بتدب في عروق مولودي 3 #دينا_الوديدي,2
وبغض النظر عن كل شيء يبقي المصرين الوحيدين اللي شتمو وسخرو وشغالين تريقه علي لاعبيهم المصرين في الاوليمبياد حتي اصابهم الاحباط ومفيش دعم لهم,1
محمد صلاح .. اسطووووووووووووورة ♥️,0
" ""#السيسي"": #منتدى_شباب_العالم كان فرصة لتجاوز التأثيرات الإعلامية https://t.co/FKQwGBAOWN",0
صلاح ، شيكابالا ، ابوتريكة ، و السعيد افضل لاعبى مصر. ,0
محمد صلاح جاب جول لما كان في تشيلسي واحنا اعتبرنا هداف الدوري الانجليزي كنوع من الهزار النهارد محمد صلاح فعليا بقي هداف الدوري الانجليزي,0
بحب الصحاب اللي الزمن مش بيعمل بينهم فروق ولما بيتقابلوا بيبقي كأنهم لسة شايفين بعض امبارح .,0
⁧#تيران_وصنافير_مصرية⁩ ونرجو ان محدش يتكلم في الموضوع ده تاني 🇪🇬🇪🇬🇪🇬,1
⒈ #داخلين_علي_2018_ولسه⒉ #هو_الطلاق_انتشر_ليه⒊ بن سلمان⒋ #منتدي_شباب_العالم⒌ #خالد_علي,1
الناس اللى بتتمنى روقان البال.. واه مفيش حاجة بتاثر فيك وانه انت احسن منهم بكتير ونفسهم يكونوا زيك ...هؤلاء العمي اقول لكم ...امـين  ,1
اكيد فى ناس زعلانه منى و ممكن اكون انا مش واخدة بالى بجد انا اسفة . ,0
دى الناس النضيفة  .,0
شرم الشيخ ولا اجمل من كده تاني . #منتدي_شباب_العالم https://t.co/2DYM58AVnO,0
أهنئ الدكتور محمد مرسى بفوزه برئاسة جمهورية مصر العربية كأول رئيس يختاره الشعب المصرى ، نتمنى له التوفيق و السداد,0
بالكتابة أصبحنآ أصدقاء لبشر لم نلتقي بهم أبداً . تحياتى لكم .,0
الوطن | ميزانية الرئيس | عمرو حمزاوي:,2
